MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
366695940,2023-01-01T00:15:16,42.38033,-71.04244,0,327.7,511,ZACHERY REINAUER,IMO7203302,WCU4692,31,0,30,8,3.8,52,A
368216660,2023-01-01T00:14:32,40.71056,-74.04252,0,360,511,SV HANAVAVE,IMO0000000,,37,,0,0,,,B
316005724,2023-01-01T00:15:16,48.41472,-123.38598,0,0,511,CHARLES H CATES IV,,,31,0,14,5,1.7,52,A
366996120,2023-01-01T00:15:18,37.00476,-89.16662,0,287.4,131,CITY OF VICKSBURG,,WDC2660,31,12,43,13,,57,A
367102860,2023-01-01T00:14:34,35.43109,-75.43909,5.3,189.6,511,LITTLE BIT,IMO8037671,WDC9481,30,,23,6,,,B
366997730,2023-01-01T00:15:21,30.04573,-90.55041,1.6,105.3,511,DANNI SUE,IMO8635734,WDC2787,31,0,18,8,,52,A
367580620,2023-01-01T00:14:37,29.75973,-95.11474,0,258,244,JAMES GOLDING,,WDG8741,31,12,25,,,57,A
367581980,2023-01-01T00:15:23,28.133,-92.97554,10.2,262.9,511,MS EMELIE ROSE,IMO9260794,WDG8877,90,5,39,10,3,79,A
338693000,2023-01-01T00:14:38,47.98103,-122.22016,0,211.1,197,OCEAN PEACE,IMO8417742,WAY5182,30,0,66,11,4.8,30,A
316001235,2023-01-01T00:15:30,48.60853,-123.51186,8.3,144.3,142,KLITSA,IMO7228481,CZ3072,60,0,47,12,1.4,60,A
209513000,2023-01-01T00:14:38,26.08781,-80.11619,0,360,511,OCEAN PEARL,IMO9060247,C4BQ2,70,0,169,27,9.8,49,A
367766020,2023-01-01T00:14:39,32.72454,-117.22386,0,360,511,FULL THROTTLE,IMO0000000,,37,,0,0,,,B
367764780,2023-01-01T00:14:43,46.30378,-124.04129,0,149.3,511,AMANDA C,IMO0000000,WDJ3102,30,,24,6,,,B
367373880,2023-01-01T00:14:45,48.75578,-122.50311,0,360,511,WESTERN VIKING,IMO0000000,WDE5962,30,,19,6,,,B
367009830,2023-01-01T00:14:47,32.32636,-90.89629,0,360,511,BV 379,,WDH9766,60,0,12,4,,69,A
369970438,2023-01-01T00:14:49,33.21096,-88.28708,0,244.2,511,TENN TOM,,AEHP,31,0,,,,31,A
338408343,2023-01-01T00:14:48,27.51134,-82.55763,0,360,214,BLUE,IMO0000000,,37,,20,6,,,B
367530640,2023-01-01T00:15:31,30.13507,-93.32298,0,305,71,CECIL,IMO8976528,WDG3881,31,0,21,9,,52,A
367505670,2023-01-01T00:15:34,34.7657,-90.45929,7.8,150,157,JEFFREY G,,WDF9488,31,12,43,15,,57,A
367496150,2023-01-01T00:15:40,29.96857,-93.85973,0,82.1,123,H.F. BEAN,IMO1233330,WDG8558,31,12,8,6,2.8,31,A
367122710,2023-01-01T00:15:16,41.3236,-89.10929,0,32.3,511,GLADYS WHITE,,WDD3012,31,0,14,6,,52,A
367570080,2023-01-01T00:15:52,29.99312,-93.90935,0,268.4,511,HORACE CENAC,,WDG7714,31,0,28,,,32,A
367474710,2023-01-01T00:16:01,29.86642,-89.93337,0,0,511,HIAWATHA,,WDF6481,31,0,16,6,,57,A
367637980,2023-01-01T00:16:05,36.99609,-89.14762,0,33,292,RAY A ECKSTEIN,,WDH6440,31,12,51,14,,57,A
367075190,2023-01-01T00:15:40,29.78564,-95.09587,0,92,344,DAKOTA S,,WDC7687,31,0,18,7,,52,A
367692910,2023-01-01T00:14:56,40.80028,-91.09786,0,360,511,BURLINGTON,,WDI3883,31,0,17,,,0,A
368083560,2023-01-01T00:15:07,27.88258,-97.04496,0,244,162,TOM GREEN,,WDK7348,52,0,23,10,2.6,52,A
368190090,2023-01-01T00:15:11,27.81364,-97.41718,0,360,511,ELIJAH S,,WDM2640,0,3,10,8,0,0,A
367740720,2023-01-01T00:15:17,40.58607,-74.20893,0,157.3,324,COPPER MOUNTAIN,IMO8976607,WDI8648,31,0,39,11,3.6,57,A
368055920,2023-01-01T00:15:17,29.66882,-89.96278,0,273.2,351,WAR EMBLEM,,WDK4507,52,12,22,10,2.8,52,A
538009086,2023-01-01T00:15:18,36.87181,-75.32916,2.6,355,352,MINERVA UNO,IMO9262077,V7A4297,33,3,48,9,4.3,33,A
367106130,2023-01-01T00:15:18,30.11617,-91.01439,0,295.4,511,MERLIN BANTA,,WDC9741,31,15,36,8,,31,A
366785220,2023-01-01T00:15:19,47.68494,-122.40577,0,359,511,ABYSSINIA,,WCZ9173,60,15,19,6,,69,A
374026000,2023-01-01T00:14:11,29.24886,-89.31606,11.8,129.5,131,CHEMICAL HUNTER,IMO9758789,H8QG,80,0,134,,,82,A
316001235,2023-01-01T00:14:19,48.61073,-123.51425,8.1,144.7,143,KLITSA,IMO7228481,CZ3072,60,0,47,12,1.4,60,A
368235760,2023-01-01T00:14:29,36.87906,-76.32654,0,27.2,95,JAN MORAN,IMO9612105,WDM7618,31,5,30,12,5.8,31,A
367405820,2023-01-01T00:14:48,29.7448,-93.86909,0,203.1,130,C-TRACTOR 20,IMO9529748,WDE8465,31,15,33,12,5.7,52,A
338422141,2023-01-01T00:14:49,45.71449,-122.86851,0,360,511,SALTY DOG,IMO0000000,,37,,7,2,,,B
338431465,2023-01-01T00:15:16,37.47132,-122.9439,4.5,90.4,511,SD-1030 (UNCREWED),IMO0000000,NO COMM,0,,0,0,,,B
367340680,2023-01-01T00:15:17,43.65619,-70.24769,0,360,511,MACHIGONNE II,,WBT2391,60,0,35,11,,60,A
370491000,2023-01-01T00:14:31,28.01002,-79.69887,18.8,115.5,124,CARNIVAL MAGIC,IMO9378486,3ETA8,60,0,305,37,8.4,60,A
368217730,2023-01-01T00:14:35,29.66672,-91.10016,0,242.8,511,CHARGER,IMO7717690,WDM5630,30,0,54,10,3.3,30,A
367789930,2023-01-01T00:15:21,26.77728,-79.71074,5.3,83.7,511,TAO,IMO0000000,WDJ5650,36,,11,3,,,B
338369901,2023-01-01T00:15:23,33.61189,-117.92831,0,360,248,DOLLY,IMO0000000,,37,,18,6,,,B
351132000,2023-01-01T00:14:39,39.63258,-72.60835,9.2,316,316,MELOI,IMO9392119,3FOD,70,0,179,28,10,79,A
366759130,2023-01-01T00:15:24,47.81782,-122.41753,17,94.5,99,WSF PUYALLUP,IMO9137363,WCY7938,60,0,138,27,5.3,60,A
367456430,2023-01-01T00:14:47,29.39498,-94.75935,0,233.5,511,CAPT WEBSTER,,WDF4843,31,0,19,7,,31,A
367009460,2023-01-01T00:15:25,30.15178,-90.99849,7,179.3,511,UNCLE NU,,WBC8841,31,0,15,6,,31,A
